GEO.display-label,GEOid,GEOid2,Information_Industry_#,Information_Industry_%,HHI_200+_#,HHI_200+_%
"Census Tract 245.02, Bronx County, New York",1400000US36005024502,36005024502,10,0.7,9,0.8
"Census Tract 246, Bronx County, New York",1400000US36005024600,36005024600,14,1.2,67,8.9
"Census Tract 247, Bronx County, New York",1400000US36005024700,36005024700,53,5.2,0,0.0
"Census Tract 248, Bronx County, New York",1400000US36005024800,36005024800,23,1.6,43,3.7
"Census Tract 249, Bronx County, New York",1400000US36005024900,36005024900,0,-,0,-
"Census Tract 250, Bronx County, New York",1400000US36005025000,36005025000,0,0.0,80,8.1
"Census Tract 251, Bronx County, New York",1400000US36005025100,36005025100,71,2.6,26,1.2
"Census Tract 252, Bronx County, New York",1400000US36005025200,36005025200,31,2.5,22,2.5
"Census Tract 253, Bronx County, New York",1400000US36005025300,36005025300,0,0.0,38,2.0
"Census Tract 254, Bronx County, New York",1400000US36005025400,36005025400,10,1.1,5,0.6
"Census Tract 255, Bronx County, New York",1400000US36005025500,36005025500,0,0.0,0,0.0
"Census Tract 256, Bronx County, New York",1400000US36005025600,36005025600,12,1.7,5,0.8
"Census Tract 257, Bronx County, New York",1400000US36005025700,36005025700,0,0.0,23,3.6
"Census Tract 261, Bronx County, New York",1400000US36005026100,36005026100,9,0.9,29,3.0
"Census Tract 263, Bronx County, New York",1400000US36005026300,36005026300,0,0.0,0,0.0
"Census Tract 264, Bronx County, New York",1400000US36005026400,36005026400,9,0.3,100,5.1
"Census Tract 265, Bronx County, New York",1400000US36005026500,36005026500,53,1.7,43,2.1
"Census Tract 266.01, Bronx County, New York",1400000US36005026601,36005026601,20,1.4,8,0.6
"Census Tract 266.02, Bronx County, New York",1400000US36005026602,36005026602,41,1.8,61,2.4
"Census Tract 267.01, Bronx County, New York",1400000US36005026701,36005026701,44,2.4,6,0.5
"Census Tract 267.02, Bronx County, New York",1400000US36005026702,36005026702,63,2.0,41,1.7
"Census Tract 269, Bronx County, New York",1400000US36005026900,36005026900,10,0.6,15,1.1
"Census Tract 273, Bronx County, New York",1400000US36005027300,36005027300,126,3.6,0,0.0
"Census Tract 274.01, Bronx County, New York",1400000US36005027401,36005027401,62,2.7,139,8.4
"Census Tract 274.02, Bronx County, New York",1400000US36005027402,36005027402,47,2.6,52,4.0
"Census Tract 276, Bronx County, New York",1400000US36005027600,36005027600,0,0.0,0,0.0
"Census Tract 277, Bronx County, New York",1400000US36005027700,36005027700,0,0.0,0,0.0
"Census Tract 279, Bronx County, New York",1400000US36005027900,36005027900,120,3.3,11,0.4
"Census Tract 281, Bronx County, New York",1400000US36005028100,36005028100,69,4.0,66,4.0
"Census Tract 283, Bronx County, New York",1400000US36005028300,36005028300,33,2.6,0,0.0
"Census Tract 284, Bronx County, New York",1400000US36005028400,36005028400,0,0.0,0,0.0
"Census Tract 285, Bronx County, New York",1400000US36005028500,36005028500,56,3.4,31,2.0
"Census Tract 286, Bronx County, New York",1400000US36005028600,36005028600,13,2.4,10,2.3
"Census Tract 287, Bronx County, New York",1400000US36005028700,36005028700,100,7.7,79,7.0
"Census Tract 288, Bronx County, New York",1400000US36005028800,36005028800,22,1.3,122,10.7
"Census Tract 289, Bronx County, New York",1400000US36005028900,36005028900,53,2.5,19,1.1
"Census Tract 293.01, Bronx County, New York",1400000US36005029301,36005029301,62,7.1,195,22.2
"Census Tract 293.02, Bronx County, New York",1400000US36005029302,36005029302,201,7.5,377,14.7
"Census Tract 295, Bronx County, New York",1400000US36005029500,36005029500,35,1.3,199,10.9
"Census Tract 296, Bronx County, New York",1400000US36005029600,36005029600,46,5.7,26,4.0
"Census Tract 297, Bronx County, New York",1400000US36005029700,36005029700,58,3.3,279,18.0
"Census Tract 300, Bronx County, New York",1400000US36005030000,36005030000,66,2.2,77,3.0
"Census Tract 301, Bronx County, New York",1400000US36005030100,36005030100,23,5.1,59,12.2
"Census Tract 302, Bronx County, New York",1400000US36005030200,36005030200,89,2.0,141,3.3
"Census Tract 307.01, Bronx County, New York",1400000US36005030701,36005030701,41,1.6,388,15.7
"Census Tract 309, Bronx County, New York",1400000US36005030900,36005030900,69,5.3,250,19.0
"Census Tract 310, Bronx County, New York",1400000US36005031000,36005031000,113,6.2,120,10.2
"Census Tract 312, Bronx County, New York",1400000US36005031200,36005031200,34,3.6,41,6.8
"Census Tract 314, Bronx County, New York",1400000US36005031400,36005031400,36,3.2,68,10.2
"Census Tract 316, Bronx County, New York",1400000US36005031600,36005031600,3,0.3,71,11.4
"Census Tract 318, Bronx County, New York",1400000US36005031800,36005031800,27,3.2,23,3.9
"Census Tract 319, Bronx County, New York",1400000US36005031900,36005031900,8,3.7,0,-
"Census Tract 323, Bronx County, New York",1400000US36005032300,36005032300,162,6.8,174,7.4
"Census Tract 324, Bronx County, New York",1400000US36005032400,36005032400,10,0.8,0,0.0
"Census Tract 326, Bronx County, New York",1400000US36005032600,36005032600,42,3.1,27,2.7
"Census Tract 328, Bronx County, New York",1400000US36005032800,36005032800,25,1.6,10,0.7
"Census Tract 330, Bronx County, New York",1400000US36005033000,36005033000,38,1.4,0,0.0
"Census Tract 332.01, Bronx County, New York",1400000US36005033201,36005033201,16,0.8,0,0.0
"Census Tract 332.02, Bronx County, New York",1400000US36005033202,36005033202,23,1.6,0,0.0
"Census Tract 334, Bronx County, New York",1400000US36005033400,36005033400,15,2.3,11,1.8
"Census Tract 335, Bronx County, New York",1400000US36005033500,36005033500,32,3.6,143,19.4
"Census Tract 336, Bronx County, New York",1400000US36005033600,36005033600,34,1.2,56,2.1
"Census Tract 337, Bronx County, New York",1400000US36005033700,36005033700,43,4.3,103,11.7
"Census Tract 338, Bronx County, New York",1400000US36005033800,36005033800,0,0.0,8,0.6
"Census Tract 340, Bronx County, New York",1400000US36005034000,36005034000,0,0.0,0,0.0
"Census Tract 342, Bronx County, New York",1400000US36005034200,36005034200,28,3.2,0,0.0
"Census Tract 343, Bronx County, New York",1400000US36005034300,36005034300,0,0.0,41,7.8
"Census Tract 344, Bronx County, New York",1400000US36005034400,36005034400,0,0.0,16,2.8
"Census Tract 345, Bronx County, New York",1400000US36005034500,36005034500,69,4.4,82,6.0
"Census Tract 348, Bronx County, New York",1400000US36005034800,36005034800,19,0.6,71,3.4
"Census Tract 350, Bronx County, New York",1400000US36005035000,36005035000,0,0.0,15,2.4
"Census Tract 351, Bronx County, New York",1400000US36005035100,36005035100,13,0.9,44,4.2
"Census Tract 356, Bronx County, New York",1400000US36005035600,36005035600,11,1.1,19,2.9
"Census Tract 358, Bronx County, New York",1400000US36005035800,36005035800,84,2.4,78,3.2
"Census Tract 359, Bronx County, New York",1400000US36005035900,36005035900,0,0.0,7,1.0
"Census Tract 360, Bronx County, New York",1400000US36005036000,36005036000,33,2.4,14,1.5
"Census Tract 361, Bronx County, New York",1400000US36005036100,36005036100,0,0.0,0,0.0
"Census Tract 363, Bronx County, New York",1400000US36005036300,36005036300,15,0.6,24,0.9
"Census Tract 364, Bronx County, New York",1400000US36005036400,36005036400,21,1.7,35,4.3
"Census Tract 365.01, Bronx County, New York",1400000US36005036501,36005036501,29,2.5,0,0.0
"Census Tract 365.02, Bronx County, New York",1400000US36005036502,36005036502,6,0.9,0,0.0
"Census Tract 367, Bronx County, New York",1400000US36005036700,36005036700,14,1.5,24,3.6
"Census Tract 368, Bronx County, New York",1400000US36005036800,36005036800,0,0.0,0,0.0
"Census Tract 369.01, Bronx County, New York",1400000US36005036901,36005036901,0,0.0,0,0.0
"Census Tract 369.02, Bronx County, New York",1400000US36005036902,36005036902,0,0.0,10,1.4
"Census Tract 370, Bronx County, New York",1400000US36005037000,36005037000,15,1.3,15,1.9
"Census Tract 371, Bronx County, New York",1400000US36005037100,36005037100,59,4.2,11,0.7
"Census Tract 372, Bronx County, New York",1400000US36005037200,36005037200,28,3.0,7,1.0
"Census Tract 373, Bronx County, New York",1400000US36005037300,36005037300,27,1.4,0,0.0
