,lat,long,stop_name,Information_Industry_%,2015_med_inc,subway line,COMPLETE_NAME
114,40.679804,-73.941119,Kingston-Throop Aves.,2.7,37104,C,KINGSTON-THROOP C
115,40.679828,-73.850401,88 St.,1.6,58125,A,88 ST A
116,40.680158,-73.84513100000001,Rockaway Blvd.,1.6,58125,A,ROCKAWAY BLVD A
117,40.680228,-73.949414,Nostrand Ave.,2.6,42308,AC,NOSTRAND AV AC
118,40.680695,-73.97474799999999,Bergen St.,10.6,86290,23,BERGEN ST 23
119,40.680944000000004,-73.994247,Carroll St.,9.1,135697,FG,CARROLL ST FG
120,40.681256,-73.95559,Franklin Ave.,3.8,53363,C,FRANKLIN AV ACS
121,40.681643,-73.878984,Norwood Ave.,3.0,53549,JZ,NORWOOD AV JZ
122,40.6823,-73.905149,Bushwick Ave.-Aberdeen St.,1.2,40815,L,BUSHWICK AV L
123,40.683316999999995,-73.966741,Clinton-Washington Aves.,7.3,67656,C,CLINTON-WASH AV C
124,40.683417,-73.911242,Chauncey St.,1.5,27827,JZ,CHAUNCEY ST JZ
125,40.683478,-73.872548,Crescent St.,0.6,36061,JZ,CRESCENT ST JZ
126,40.683928,-73.978412,Atlantic Ave.,11.3,82071,45,ATLANTIC AV L
127,40.683928,-73.978412,Atlantic Ave.-Barclays Center,11.3,82071,23BDNQR,ATL AV-BARCLAY 2345BDNQR
128,40.685789,-73.97276,Lafayette Ave.,11.7,45947,C,LAFAYETTE AV C
129,40.685946,-73.915713,Halsey St.,1.8,42079,J,HALSEY ST J
130,40.686727000000005,-73.990269,Bergen St.,6.8,112036,FG,BERGEN ST FG
131,40.687159,-73.97629,Fulton St.,8.5,105642,G,FULTON ST G
132,40.688085,-73.980243,Nevins St.,8.5,105642,2345,NEVINS ST 2345
133,40.688114,-73.967575,Clinton-Washington Aves.,13.7,83650,G,CLINTON-WASH AV G
134,40.688396000000004,-73.984216,Hoyt St.- Schermerhorn St.,10.0,102386,ACG,HOYT-SCHER ACG
135,40.688781,-73.95987099999999,Classon Ave.,5.6,33141,G,CLASSON AV G
136,40.688805,-73.904741,Wilson Ave.,5.6,37635,L,LIVONIA AV L
137,40.689367,-73.954957,Bedford-Nostrand Aves.,7.1,54505,G,BEDFORD-NOSTRAN G
138,40.689817,-73.981082,DeKalb Ave.,8.5,105642,BQR,DEKALB AV BDNQR
139,40.690142,-73.923062,Gates Ave.,6.3,38266,JZ,GATES AV JZ
140,40.690142,-73.871633,Cypress Hills,0.3,42301,J,CYPRESS HILLS J
141,40.690931,-73.98525,Hoyt St.,10.2,90616,2,HOYT ST 23
142,40.690931,-73.98525,Hoyt St.-Fulton Mall,10.2,90616,3,FULTON ST G
143,40.691285,-73.866425,75 St.-Elderts Ln.,2.1,54773,JZ,75 ST-ELDERTS JZ
144,40.692315,-73.98517199999999,Jay St.-MetroTech,10.2,90616,ACFR,JAY ST-METROTEC ACF
145,40.692381,-73.858975,85 St.-Forest Parkway,0.0,61900,J,85 ST-FOREST PK J
146,40.692547999999995,-73.990099,Borough Hall,8.5,107946,2345,BOROUGH HALL 2345R
147,40.692547999999995,-73.990099,Court St.-Borough Hall,8.5,107946,R,BOROUGH HALL R2345
148,40.692929,-73.92794,Kosciuszko St.,5.4,52244,J,KOSCIUSZKO ST J
149,40.694077,-73.850476,Woodhaven Blvd.,0.8,77321,JZ,WOODHAVEN BLVD JZ
150,40.695201000000004,-73.903764,Halsey St.,6.2,40455,L,HALSEY ST L
151,40.695267,-73.843223,104 St.,0.5,73971,JZ,104 ST JZ
152,40.6955,-73.94896,Myrtle-Willoughby Aves.,5.3,51310,G,MYRTLE-WILLOUGH G
153,40.696771000000005,-73.83704200000001,111 St.,0.7,57261,J,111 ST J
154,40.696892999999996,-73.935461,Myrtle Ave.,1.5,30755,JMZ,MYRTLE AV JMZ
155,40.697649,-73.99306,Clark St.,8.1,110700,23,CLARK ST 23
156,40.698033,-73.926371,Central Ave.,3.1,51083,M,CENTRAL AV M
157,40.698716999999995,-73.918655,Knickerbocker Ave.,4.2,42269,M,KNICKERBOCKER M
158,40.699405,-73.991413,High St.,10.0,70938,AC,HIGH ST AC
159,40.699467999999996,-73.910648,Myrtle-Wyckoff Aves.,6.2,40455,LM,MYRTLE-WYCKOFF LM
160,40.699985,-73.949895,Flushing Ave.,1.3,30625,G,FLUSHING AV G
161,40.700520000000004,-73.82923100000001,121 St.,0.0,55341,JZ,121 ST JZ
162,40.700554,-73.807353,Sutphin Blvd.-Archer Ave.-J.F.K. Airport,0.7,58235,EJZ,SUTPHIN-ARCHER EJZ
163,40.700846999999996,-73.94171,Flushing Ave.,2.2,32813,JM,FLUSHING AV JM
164,40.701263,-73.816372,Jamaica-Van Wyck,1.5,62656,E,JAMAICA VAN WK E
165,40.70138,-73.986655,York St.,13.6,208036,F,YORK ST F
166,40.701874,-73.80174699999999,Jamaica Center-Parsons-Archer,0.8,39856,EJZ,JAMAICA CENTER EJZ
167,40.701938,-74.012588,Whitehall St.-South Ferry,7.9,147500,R,WHITEHALL S-FRY R1
168,40.701961,-74.013397,South Ferry,7.9,147500,1,SOUTH FERRY 1R
169,40.70278,-73.907515,Seneca Ave.,1.9,40797,M,SENECA AVE M
170,40.703454,-73.946536,Lorimer St.,2.2,32813,JM,LORIMER ST JM
171,40.704378999999996,-73.919026,DeKalb Ave.,5.9,42894,L,DEKALB AV L
172,40.704629,-74.013502,Bowling Green,3.5,123558,45,BOWLING GREEN 45
173,40.704729,-73.902243,Forest Ave.,0.5,38152,M,FOREST AVE M
174,40.705114,-73.950062,Broadway,2.5,32762,G,BROADWAY G
175,40.705341,-73.81186,Sutphin Blvd.,0.7,38750,F,SUTPHIN BLVD F
176,40.706072999999996,-73.933633,Morgan Ave.,12.4,85924,L,MORGAN AV L
177,40.706115000000004,-73.89555899999999,Fresh Pond Rd.,3.7,52153,M,FRESH POND RD M
178,40.706345,-74.014,Rector St.,3.5,123558,R,RECTOR ST R
179,40.706911,-74.010494,Broad St.,7.6,117841,JZ,BROAD ST JZ
180,40.707062,-73.80433199999999,Parsons Blvd.,0.9,50991,F,PARSONS BLVD F
181,40.707229,-73.923725,Jefferson St.,8.0,50114,L,JEFFERSON ST L
182,40.707248,-73.954326,Hewes St.,5.6,32022,JM,HEWES ST JM
183,40.707431,-74.008778,Wall St.,7.6,117841,23,WALL ST 23
184,40.707819,-73.939749,Montrose Ave.,5.1,30613,L,MONTROSE AV L
185,40.708107,-74.01344499999999,Rector St.,3.5,123558,1,RECTOR ST 1
186,40.708436,-74.011298,Wall St.,3.5,123558,45,WALL ST 45
187,40.708788,-73.958826,Marcy Ave.,2.6,20993,JMZ,MARCY AV JMZ
188,40.709315999999994,-73.819773,Briarwood-Van Wyck Blvd.,1.6,61867,F,BRIARWOOD EF
189,40.709852000000005,-73.79456400000001,169 St.,2.3,28113,F,169 ST F
190,40.710211,-74.007584,Fulton St.,4.0,81867,AC,FULTON ST ACJZ2345
191,40.711026000000004,-74.00919,Fulton St.,3.5,123558,2345JZ,FULTON ST 2345ACJZ
192,40.711065000000005,-74.010644,Cortlandt St.,3.5,123558,R,CORTLANDT ST R
193,40.711912,-73.940433,Grand St.,12.4,85924,L,GRAND ST L
194,40.712082,-73.88954,Middle Village-Metropolitan Ave.,3.7,52153,M,METROPOLITAN AV M
195,40.712581,-73.783377,Jamaica-179 St.,0.0,42089,F,JAMAICA 179 ST F
196,40.712711999999996,-74.007766,Park Place,3.3,250000,23,PARK PLACE 23ACE
197,40.713333,-74.009033,World Trade Center,3.3,250000,E,WORLD TRADE CTR ACE23
198,40.713521,-74.006697,City Hall,3.5,183500,R,CITY HALL R
199,40.713663000000004,-73.830011,Kew Gardens-Union Turnpike,3.1,59152,EF,KEW GARDENS EF
200,40.713744,-73.95145500000001,Metropolitan Ave.,12.5,66951,G,METROPOLITAN AV GL
201,40.713899,-74.003642,Brooklyn Bridge-City Hall,3.5,183500,456,BROOKLYN BRIDGE 456JZ
202,40.713908,-73.949262,Lorimer St.,12.3,69712,L,LORIMER ST LG
203,40.714199,-74.003187,Chambers St.,3.5,183500,JZ,CHAMBERS ST JZ456
204,40.714403999999995,-73.989918,East Broadway,6.8,76250,F,EAST BROADWAY F
205,40.714439,-73.94419,Graham Ave.,11.7,79934,L,GRAHAM AV L
206,40.714991999999995,-74.007739,Chambers St.,3.3,250000,AC,CHAMBERS ST ACE23
207,40.715576,-74.00903100000001,Chambers St.,3.3,250000,123,CHAMBERS ST 123
208,40.717821,-73.95756800000001,Bedford Ave.,11.3,80909,L,BEDFORD AV L
209,40.717822999999996,-74.000326,Canal St.,3.5,183500,6JNQRZ,CANAL ST 1
210,40.718154999999996,-73.993452,Grand St.,4.7,59416,BD,GRAND ST BD
211,40.71841,-73.987181,Delancey St.-Essex St.,13.3,24375,FJMZ,DELANCEY/ESSEX FJMZ
212,40.719060999999996,-73.837916,75 Ave.,6.5,69375,EF,75 AV EF
213,40.719918,-74.00662,Franklin St.,9.6,250000,1,FRANKLIN ST 1
214,40.720290999999996,-73.993411,Bowery,4.7,59416,JZ,BOWERY JZ
215,40.720758000000004,-74.005399,Canal St.,9.6,250000,ACE,CANAL ST ACE
216,40.721916,-73.844352,Forest Hills-71 Ave.,6.5,74435,EFMR,FOREST HILLS 71 EFMR
217,40.722235,-73.996818,Spring St.,8.4,71635,6,SPRING ST 6
218,40.722497,-74.005994,Canal St.,14.7,129904,1,CANAL ST 1
219,40.7232,-73.988863,2 Ave.,13.0,81250,F,2 AV F
220,40.723765,-73.95056600000001,Nassau Ave.,11.3,71111,G,NASSAU ST G
221,40.72422,-73.997633,Prince St.,8.4,71635,NR,PRINCE ST NR
222,40.725499,-73.996387,Broadway-Lafayette St.,9.1,138523,BDFM,B'WAY-LAFAYETTE BDFQ6
223,40.725583,-74.003747,Spring St.,5.0,97929,CE,SPRING ST CE
224,40.725845,-73.99432,Bleecker St.-Broadway-Lafayette St.,9.1,138523,6,74 ST-BROADWAY 7EFMR
225,40.727073,-73.853226,67 Ave.,3.7,79447,MR,67 AV MR
226,40.728656,-74.005086,Houston St.,10.4,88492,1,HOUSTON ST 1
227,40.730037,-73.861343,63 Dr.-Rego Park,4.2,65250,MR,63 DR-REGO PARK MR
228,40.730084000000005,-73.990838,Astor Place,11.5,150833,6,ASTOR PL 6
229,40.730121999999994,-73.954049,Greenpoint Ave.,9.7,79476,G,GREENPOINT AV G
230,40.73038524,-73.99218248,8 St.-N.Y.U.,11.5,150833,NR,28 ST NR
231,40.731396999999994,-73.982112,1 Ave.,6.0,93010,L,1 AV L
232,40.733121999999995,-73.986548,3 Ave.,11.8,106789,L,3 AV L
233,40.733259000000004,-73.999615,W 4 St.- Washington Square,9.9,113284,ABCDEF,W 4 ST-WASH SQ ABCDEFM
234,40.733259000000004,-73.999615,West 4 St.-Wash Square,9.9,113284,M,W 4 ST-WASH SQ ABCDEFM
235,40.733402000000005,-74.002748,Christopher St.-Sheridan Square,15.2,97149,1,CHRISTOPHER ST 1
236,40.733554999999996,-73.86958800000001,Woodhaven Blvd.,3.9,63021,MR,WOODHAVEN BLVD MR
237,40.735184000000004,-73.989793,14 St.-Union Square,7.5,102723,456LNQR,14 ST-UNION SQ 456LNQR
238,40.736277,-73.876424,Grand Ave.-Newtown,3.3,52500,MR,GRAND-NEWTOWN MR
239,40.737826,-74.000201,14 St.-7 Ave.,16.3,111476,123,3 AV 138 ST 6
240,40.738678,-73.995632,14 St.-6 Ave.,10.6,132813,FLM,14 ST ACEL
241,40.73955,-74.00238900000001,14 St.-8 Ave.,15.8,127729,L,14 ST ACEL
242,40.74018,-73.986006,23 St.,13.3,109526,6,23 ST 6
243,40.741046000000004,-74.001284,14 St.-8th Ave.,16.3,111476,ACE,14 ST ACEL
244,40.741208,-73.989639,23 St.,6.6,115521,NR,23 ST NR
245,40.741617,-73.997197,18 St.,11.3,122569,1,18 ST 1
246,40.742405,-73.94811,Hunters Point Ave.,7.2,117788,7,HUNTERS PT AV 7
247,40.742496,-73.95248199999999,Vernon Blvd.-Jackson Ave.,8.2,93670,7,VERNON-JACKSON 7
248,40.742825,-73.99238299999999,23 St.,6.8,157934,FM,23 ST FM
249,40.742937,-73.882708,Elmhurst Ave.,4.8,47024,MR,ELMHURST AV MR
250,40.743217,-73.918564,46 St.-Bliss St.,4.1,51302,7,46 ST BLISS ST 7
251,40.743257,-73.983738,28 St.,8.0,104272,6,28 ST 6
252,40.743882,-73.924112,40 St.-Lowery St.,5.0,50850,7,40 ST LOWERY ST 7
253,40.743933,-73.913003,52 St.,9.3,56676,7,52 ST 7
254,40.74412,-73.99534799999999,23 St.,6.1,111505,1,23 ST 1
255,40.744552,-73.948425,21 St.,7.2,117788,G,21 ST G
256,40.744724,-73.931533,33 St.-Rawson St.,2.6,41544,7,33 ST-RAWSON ST 7
257,40.745089,-73.988472,28 St.,6.8,157934,NR,28 ST NR
258,40.745717,-73.903063,Woodside-61 St.,1.2,39852,7,61 ST WOODSIDE 7
259,40.746483000000005,-73.99714200000001,23 St.,6.1,111505,CE,23 ST CE
260,40.746509,-73.896268,69 St.,1.9,44935,7,69 ST 7
261,40.74655,-73.981533,33 St.,8.0,104272,6,33 ST 6
262,40.747025,-73.891413,74 St.-Broadway,0.9,61011,7,74 ST-BROADWAY 7EFMR
263,40.747215999999995,-73.993121,28 St.,2.2,145956,1,28 ST 1
264,40.747238,-73.892146,Jackson Heights-Roosevelt Ave.,0.9,61011,EFMR,JKSN HT-ROOSVLT EFMR7
265,40.747371,-73.944287,Court Square,7.2,117788,7EGM,COURT SQ 7
266,40.747811999999996,-73.883876,82 St.-Jackson Heights,3.7,57158,7,82 ST-JACKSON H 7
267,40.748318,-73.876432,90 St.-Elmhurst Ave.,0.8,51276,7,90 ST-ELMHURST 7
268,40.748807,-73.937057,Queens Plaza,7.2,117788,EM,QUEENS PLAZA EMR
