Greenpoint Ave. G,GREENPOINT AV G
8 St.-N.Y.U. NR,28 ST NR
1 Ave. L,1 AV L
3 Ave. L,3 AV L
W 4 St.- Washington Square ABCDEF,W 4 ST-WASH SQ ABCDEFM
West 4 St.-Wash Square M,W 4 ST-WASH SQ ABCDEFM
Christopher St.-Sheridan Square 1,CHRISTOPHER ST 1
Woodhaven Blvd. MR,WOODHAVEN BLVD MR
14 St.-Union Square 456LNQR,14 ST-UNION SQ 456LNQR
Grand Ave.-Newtown MR,GRAND-NEWTOWN MR
14 St.-7 Ave. 123,3 AV 138 ST 6
14 St.-6 Ave. FLM,14 ST ACEL
14 St.-8 Ave. L,14 ST ACEL
23 St. 6,23 ST 6
14 St.-8th Ave. ACE,14 ST ACEL
23 St. NR,23 ST NR
18 St. 1,18 ST 1
Hunters Point Ave. 7,HUNTERS PT AV 7
Vernon Blvd.-Jackson Ave. 7,VERNON-JACKSON 7
23 St. FM,23 ST FM
Elmhurst Ave. MR,ELMHURST AV MR
46 St.-Bliss St. 7,46 ST BLISS ST 7
28 St. 6,28 ST 6
40 St.-Lowery St. 7,40 ST LOWERY ST 7
52 St. 7,52 ST 7
23 St. 1,23 ST 1
21 St. G,21 ST G
33 St.-Rawson St. 7,33 ST-RAWSON ST 7
28 St. NR,28 ST NR
Woodside-61 St. 7,61 ST WOODSIDE 7
23 St. CE,23 ST CE
69 St. 7,69 ST 7
33 St. 6,33 ST 6
74 St.-Broadway 7,74 ST-BROADWAY 7EFMR
28 St. 1,28 ST 1
Jackson Heights-Roosevelt Ave. EFMR,JKSN HT-ROOSVLT EFMR7
Court Square 7EGM,COURT SQ 7
82 St.-Jackson Heights 7,82 ST-JACKSON H 7
90 St.-Elmhurst Ave. 7,90 ST-ELMHURST 7
Queens Plaza EM,QUEENS PLAZA EMR
Junction Blvd. 7,JUNCTION BLVD 7
65 St. MR,65 ST MR
103 St.-Corona Plaza 7,103 ST-CORONA 7
34 St.-Herald Square BDFMNQR,34 ST-HERALD SQ BDFMNQR
Queens Plaza R,QUEENS PLAZA EMR
Queensboro Plaza 7NQ,QUEENSBORO PLZ 7NQ
34 St.-Penn Station 123,34 ST-PENN STA 123
111 St. 7,111 ST 7
36 St. MR,36 ST MR
34 St.-Penn Station ACE,34 ST-PENN STA ACE
Grand Central-42 St. 4567,GRD CNTRL-42 ST 4567S
39 Ave. NQ,39 AV NQ
5 Ave.-Bryant Park 7,42 ST-BRYANT PK BDFM7
Northern Blvd. MR,NORTHERN BLVD MR
21 St.-Queensbridge F,21 ST-QNSBRIDGE F
Times Square-42 St. 1237NQR,TIMES SQ-42 ST 1237ACENQRS
42 St.-Bryant Park BDFM,42 ST-BRYANT PK BDFM7
36 Ave. NQ,36 AV NQ
46 St. MR,46 ST MR
51 St. 6,51 ST 6
Lexington Ave.-53 St. EM,LEXINGTON AV/53 EM6
Steinway St. MR,STEINWAY ST MR
42 St.-Port Authority Bus Terminal ACE,42 ST-PORT AUTH ACENGRS1237
Roosevelt Island F,ROOSEVELT ISLND F
Flushing-Main St. 7,FLUSHING-MAIN 7
47-50 Sts.-Rockefeller Center BDFM,47-50 STS ROCK BDFM
5 Ave.-53 St. EM,5 AV/53 ST EM
49 St. NQR,49 ST NQR
50 St. 1,50 ST 1
Broadway NQ,BROADWAY NQ
59 St. 456,59 ST 456NQR
